1, 3, 16.22, 6.00
2, 5, 25.87, 6.00
1, 3, 8.46, 3.00
2, 2, 5.67, 3.00
2, 5, 39.35, 10.00
1, 3, 26.20, 10.00
1, 3, 21.31, 8.00
2, 2, 14.57, 8.00
1, 2, 12.73, 7.00
2, 3, 18.73, 7.00
2, 0, 0.00, 0.23
1, 0, 0.00, 0.23
1, 5, 18.06, 4.00
2, 2, 7.43, 4.00
1, 4, 7.29, 2.00
2, 3, 5.48, 2.00
2, 5, 4.57, 1.00
1, 5, 4.57, 1.00
1, 3, 13.98, 5.00
2, 3, 13.98, 5.00
2, 3, 23.94, 9.00
1, 1, 8.42, 9.00
2, 5, 2.35, 0.50
1, 2, 0.94, 0.50
1, 3, 6.91, 2.50
2, 2, 4.62, 2.50
1, 4, 13.06, 3.50
2, 3, 9.87, 3.50
1, 4, 5.57, 1.50
2, 3, 4.19, 1.50
2, 4, 14.62, 4.00
1, 3, 11.07, 4.00
1, 4, 9.18, 2.50
2, 5, 11.42, 2.50
1, 6, 8.33, 1.50
2, 3, 4.19, 1.50
2, 4, 7.29, 2.00
1, 5, 9.09, 2.00
1, 3, 2.75, 1.00
2, 5, 4.57, 1.00
2, 4, 21.21, 6.00
1, 4, 21.21, 6.00
2, 3, 23.94, 9.00
1, 4, 30.63, 9.00
1, 4, 27.47, 8.00
2, 4, 27.47, 8.00
1, 0, 0.00, 0.23
2, 0, 0.00, 0.23
2, 3, 26.20, 10.00
1, 3, 26.20, 10.00
1, 3, 18.73, 7.00
2, 5, 29.47, 7.00
1, 4, 18.37, 5.00
2, 2, 9.43, 5.00
2, 4, 1.88, 0.50
1, 5, 2.35, 0.50
1, 4, 13.06, 3.50
2, 3, 9.87, 3.50
1, 3, 8.46, 3.00
2, 5, 13.93, 3.00
1, 5, 16.17, 3.50
2, 4, 13.06, 3.50
1, 1, 5.54, 6.00
2, 2, 10.98, 6.00
2, 4, 27.47, 8.00
1, 3, 21.31, 8.00
2, 0, 0.00, 0.23
1, 0, 0.00, 0.23
2, 4, 18.37, 5.00
1, 4, 18.37, 5.00
2, 4, 5.57, 1.50
1, 4, 5.57, 1.50
2, 3, 1.41, 0.50
1, 2, 0.94, 0.50
2, 3, 2.75, 1.00
1, 4, 3.66, 1.00
2, 4, 30.63, 9.00
1, 4, 30.63, 9.00
2, 4, 24.32, 7.00
1, 4, 24.32, 7.00
1, 3, 5.48, 2.00
2, 2, 3.66, 2.00
2, 4, 11.22, 3.00
1, 3, 8.46, 3.00
1, 5, 11.42, 2.50
2, 5, 11.42, 2.50
2, 4, 33.26, 10.00
1, 4, 33.26, 10.00
1, 4, 14.62, 4.00
2, 4, 14.62, 4.00
